station_number,station_name_english,stn_name_heb,first_data_date,last_data_date
134830,SHA'ARE TIQWA,שערי תקווה,2008-10,2011-06
134840,HAKEFAR HAYAROK,הכפר הירוק,2002-09,2024-04
134850,TEL AVIV - QIRYAT SHAUL,תל אביב - קריית שאול,1944-09,2016-07
134870,TEL AVIV - ZAHALA,תל אביב - צהלה,1960-10,1968-05
134880,RAMAT HASHARON - NEWE MAGEN,רמת השרון - נוה מגן,1962-09,1968-05
134900,KAFAR QASEM,כפר קאסם,1945-01,1963-09
134940,TEL AVIV SEDE DOV,תל אביב -שדה דב,1970-09,1994-05
134945,TEL AVIV SEDE DOV,תל אביב -שדה דב,1994-09,2004-12
134950,TEL AVIV READING,תל אביב רדינג,1939-09,1972-05
135000,ROSH HAAYIN PUMP. STATION,ראש העין תחנת שאיבה,1938-12,1952-05
135010,YARQON GAN LEUMI,ירקון גן לאומי,2000-12,2024-04
135050,TEL AVIV PORT,תל אביב נמל,1951-09,1966-05
135100,PETAH TIQWA - KEFAR AVRAHAM,פתח תקווה- כפר אברהם,1939-12,1950-05
135150,GIV'AT HASHELOSHA,גבעת השלושה,1933-09,1956-04
135160,ROSH HAAYIN MEKOROT,ראש העין - מקורות,1989-10,2024-04
135200,BENE BERAQ,בני ברק,1943-09,1944-05
135250,PETAH TIQWA OLD PICA SCH.,פתח תקווה בית ספר פיקא (ישן),1921-09,1955-05
135251,PETAH TIQWA PICA SCH.,"פתח תקווה  בי""""ס פיקא",1955-09,1976-05
135252,PETAH TIQWA HESS SCH.,"פתח תקוה בי""""ס הס",1962-09,1973-10
135260,PETAH TIQWA PICA STREET,פתח תקוה רחוב פיקא,1956-12,1967-03
135270,TEL AVIV MUNICIPALITY,תל אביב עיריה,1994-09,2002-10
135300,TEL AVIV NORTH,תל אביב צפון,1933-09,1951-05
135350,RAMAT GAN YAHALOM SCH.,"רמת גן בי""""ס יהלום",1937-10,1948-05
135400,RAMAT GAN ORA SCHOOL,"רמת גן בי""""ס אורה",1957-12,1959-05
135450,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1955-12,1962-05
135451,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1962-09,1974-10
135452,PETAH TIQWA NEWE OZ,פתח תקוה נוה עוז,1965-10,2010-05
135496,ENAT,עינת,1999-09,2024-04
135497,ENAT,עינת,1997-09,1999-05
135498,ENAT,עינת,1988-09,1997-05
135499,ENAT,עינת,1975-09,1988-05
135500,ENAT,עינת,1952-09,1972-05
135550,TEL AVIV OLD MUNICIPALITY,תל אביב בית העיריה הישן,1944-09,1945-05
135600,TEL AVIV  HAQIRYA (SARONA),תל אביב- הקריה (שרונה),1879-10,1960-05
135650,RAMAT GAN,רמת גן,1956-01,1964-05
135700,KEFAR SIRKIN,כפר סירקין,1951-09,1955-01
135750,TEL AVIV HERZLIYYA GYM.,תל אביב גימנסיה הרצליה,1943-09,1951-05
135800,TEL AVIV NAHMANI ST.,תל אביב רח נחמני,1911-09,1950-02
135850,TEL AVIV YAD ELIYAHU,תל אביב  יד אליהו,1956-09,1958-05
135900,GIV'ATAYIM,גבעתיים,1954-02,1965-05
135949,NEHALIM,נחלים,1995-09,2024-04
135950,NEHALIM,נחלים,1953-09,1995-05
136000,NAHSHONIM FIELDS,נחשונים - שדות,1950-09,1955-05
136050,NAHSHONIM,נחשונים,1950-09,1994-05
136051,NAHSHONIM,נחשונים,1994-09,2024-04
136070,MA'AS,מעש,1996-09,2003-05
136072,MA'AS,מעש,2003-09,2024-04
136100,QIRYAT ONO,קריית אונו,1952-09,2005-05
136200,QIRYAT ONO SCHOOL,"קריית אונו בי""""ס",1952-09,1953-05
136250,RAMAT GAN - TEL LITWINSKY,רמת גן - תל ליטוינסקי,1942-01,1952-05
136300,SAVYON,סביון,1958-09,1979-12
136320,TEL AVIV COAST,תל-אביב חוף,2005-03,2024-04
136329,YAFO PORT,יפו נמל,1978-09,2001-05
136330,YAFO PORT,יפו נמל,1966-09,1978-05
136350,YAFO MUNICIPALITY,יפו עיריה,1926-09,1953-01
136400,YAFO ST. LOUIS HOSPITAL,"יפו בי""""ח סנט לואי",1907-09,1914-05
136450,YAFO,יפו,1902-09,1913-05
136500,HAWAT SHALEM,חוות שלם,1949-09,2014-05
136501,PARK ARIEL SHARON,פארק אריאל שרון,2014-08,2015-03
136550,MAZOR,מזור,1951-09,1963-05
136580,BE'EROT YIZHAQ,בארות יצחק,1952-10,2024-04
136600,BAT YAM,בת ים,1940-09,2006-05
136650,MIQWE YISRAEL,מקוה ישראל,1907-09,2024-04
136670,NEWE MONOSON,נוה מונוסון,1964-01,1966-02
136700,YEHUD,יהוד,1940-09,1949-05
136720,BENE ATAROT (WILHELMA),בני עטרות - וילהלמה,1904-09,1950-05
136725,BENE ATAROT,בני עטרות,1949-09,1952-05
136730,HOLON,חולון,1960-09,1977-05
136735,LOD AIRPORT,"לוד-נתב""""ג",1972-10,1992-05
136739,BET DAGAN MAN,בית דגן מאוישת,1974-09,2024-04
136740,BET DAGAN,בית דגן,1962-09,1974-05
136741,BET DAGAN,בית דגן,2004-01,2024-04
136750,BET DAGAN AGR ST,בית דגן תחנה לחקלאות,1956-09,1973-05
136800,GAN MOSHE,גן משה,1936-09,1949-05
136848,LOD AIRPORT,לוד נמל תעופה,1971-09,2004-10
136850,LOD AIRPORT,לוד נמל תעופה,1938-01,1954-02
136851,LOD AIRPORT,לוד נמל תעופה,1963-01,1971-05
136900,LOD EVAPORATION,לוד התאדות,1951-09,1962-12
136949,TOHELET MEHADRIN,תוחלת מהדרין,1975-09,1996-05
136950,TOHELET MEHADRIN,תוחלת מהדרין,1956-09,1975-05
136970,BET NEHEMYA NURSERY,בית נחמיה משתלה,1976-10,1980-05
137000,KEFAR TRUMAN - BENEI HAREL,כפר טרומן - בני הראל,1950-09,1956-05
137015,RISHON LEZIYYON,ראשון לציון,1994-09,2024-04
137020,NAHALAT YEHUDA,נחלת יהודה,1964-03,2024-04
137021,NAHALAT YEHUDA,נחלת יהודה כפר הנוער,2009-09,2013-05
137040,SHAFDAN,שפדן,1998-08,1999-07
137041,SHAFDAN,שפדן,1999-09,2019-05
137050,RISHON LEZIYYON NEWE POALIM,ראשון לציון נווה פועלים,1954-09,1968-05
137100,RISHON LEZIYYON WINERY,ראשון לציון יקב,1925-09,1981-01
137150,ZERIFIN,צריפין,1935-09,2020-05
137200,GINNATON,גינתון,1952-09,1957-05
137250,BEN SHEMEN,בן שמן,1925-09,1967-05
137251,BEN SHEMEN,בן שמן,1979-09,2024-04
137260,NIR ZEVI,ניר צבי,1998-02,2015-07
137261,NIR ZEVI,ניר צבי,2019-08,2024-04
137299,NETA'IM,נטעים,1999-09,2024-04
137300,NETA'IM,נטעים,1959-09,1990-05
137301,NETA'IM,נטעים,1990-09,1998-05
137350,PALMAHIM,פלמחים,1949-09,2024-04
137351,GAN SOREQ,גן שורק,1961-09,1967-11
137400,BET HANAN,בית חנן,1941-09,1942-05
137430,RAMLA,רמלה,1967-10,2013-12
137450,NES ZIYYONA - LOEWENSTEIN ORCH.,נס ציונה - פרדס לבנשטיין,1929-09,1948-05
137500,NES ZIYYONA,נס ציונה,1926-09,1967-12
137501,NES ZIYYONA,נס ציונה,1958-09,1961-05
137502,NES ZIYYONA,נס ציונה,1999-09,2022-05
137549,NEZER SERENI,נצר סרני,1977-09,2024-04
137550,NEZER SERENI,נצר סרני,1948-09,1977-05
137551,NEZER SERENI - BIR SALIM,נצר סרני  - ביר סלים,1929-09,1948-05
137600,RAMLA POLICE,רמלה משטרה,1942-09,1948-05
137650,RAMLA SCHOOL,"רמלה בי""""ס",1943-09,1953-05
137700,AYANOT,עיינות,1941-09,1949-05
137748,BET OVED,בית עובד,1969-10,1981-05
137750,BET OVED,בית עובד,1939-12,1949-12
137751,BET OVED,בית עובד,1950-01,1968-05
137800,RAMLA AERODROME,רמלה שדה תעופה,1921-09,1959-05
137850,RAMLA NESHER FACTORY,רמלה ביחר נשר,1954-09,1999-05
137900,YAVNE TRANSMITTERS & SATELLITE,יבנה שידור ולווינים,1954-09,2020-12
137950,REHOVOT AGR INSTITUTE,רחובות המכון לחקלאות,1932-09,1969-05
138000,YAD RAMBAM,"יד רמב""""ם",1958-09,1959-05
138050,REHOVOT - QUBEIBA,רחובות - קביבה,1945-09,1948-05
138100,REHOVOT COLONY,רחובות מושבה,1925-09,1949-05
138120,REHOVOT,רחובות,2014-08,2024-04
138150,REHOVOT -ZARNOGA,רחובות - זרנוקא,1950-09,1951-05
138200,NA'AN,נען,1933-09,1970-05
138250,GAN SHELOMO,גן שלמה,1939-09,2024-04
138270,HAVAZZELET,חבצלת,1960-10,2003-05
138272,HAVAZZELET,חבצלת,2003-09,2024-04
138280,KEFAR BILU,"כפר ביל""""ו",1960-10,2024-04
138300,NAAN FIELDS,נען שדות,1952-09,1960-05
138350,YAVNE TOWN,יבנה עיירה,1940-09,1948-05
138370,RAMOT ME'IR,רמות מאיר,2003-09,2017-09
138400,GIV'AT BRENNER,גבעת ברנר,1935-10,1984-05
138401,GIV'AT BRENNER,גבעת ברנר,1984-09,2024-04
138450,NAAN RAILWAY STATION,נען תחנת הרכבת,1941-09,1948-05
138500,BEN ZAKKAY,בן זכאי,1952-09,1962-05
138510,BET GAMLIEL,בית גמליאל,1998-09,2024-04
138540,MAZKERET BATYA,מזכרת בתיה,1969-09,1986-05
138550,MAZKERET BATYA,מזכרת בתיה,1922-09,1956-05
138600,GEDERA - MERAR HILL,גדרה - גבעת מרר,1956-09,1960-05
138650,KEFAR AVIV,כפר אביב,1955-01,1967-12
138670,KEFAR MORDEKHAY,כפר מרדכי,1960-09,1990-05
138698,MAZKERET BATYA SOUTH,מזכרת בתיה דרום,1970-08,2005-05
138700,MAZKERET BATYA SOUTH,מזכרת בתיה דרום,1943-09,1970-05
138760,ASERET GEDEROT SCHOOL,"עשרת בי""""ס גדרות",1954-09,1978-12
138780,MISGAV DOV,משגב דב,2003-09,2024-04
138800,GEDERA,גדרה,1929-09,1970-12
138850,QIDRON,קדרון,1953-09,1976-01
138851,QIDRON,קדרון,1977-10,2008-05
138870,KANNOT AGR. SCH.,"כנות בי""""ס חקלאי",1961-09,1972-05
138900,YAD BINYAMIN - NETIVA,יד בנימין - נתיבה,1950-09,1953-05
138920,GAN YAVNE,גן יבנה,1961-09,1968-10
138946,HAFEZ HAYYIM,חפץ חיים,2004-04,2024-04
138947,HAFEZ HAYYIM MAN,חפץ חיים מאוישת,1991-09,2024-04
138948,HAFEZ HAYYIM,חפץ חיים,1979-09,1991-05
138949,HAFEZ HAYYIM,חפץ חיים,1971-01,1979-05
138950,HAFEZ HAYYIM,חפץ חיים,1946-09,1980-05
139000,BET HILQIYYA,בית חלקיה,1960-09,2024-04
140010,ASHDOD POWER ST,אשדוד תחנת כח,1959-01,1977-10
140020,ASHDOD COAST STUDY,אשדוד סקר חופים,1957-09,1972-05
140025,ASHDOD PORT,אשדוד נמל,2004-09,2024-04
140040,ASHDOD PORT,אשדוד נמל,1969-10,2001-11
140050,NIR GALLIM,ניר גלים,1950-09,2024-04
140100,BENE DAROM,בני דרום,1950-09,1985-05
140101,BENE DAROM,בני דרום,1985-09,2024-04
140150,ASHDOD FARM,אשדוד חווה,1979-11,2024-04
140198,QEVUZAT YAVNE,קבוצת יבנה,2004-09,2024-04
140199,QEVUZAT YAVNE,קבוצת יבנה,1980-09,1995-05
140200,QEVUZAT YAVNE,קבוצת יבנה,1941-09,1980-05
140201,QEVUZAT YAVNE MAN,קבוצת יבנה מאוישת,1995-09,2024-04
140220,BENE AYISH -NETA,"בני עי""""ש -נטע",1959-09,1964-05
140249,HAZOR ASHDOD,חצור אשדוד,1975-09,2024-04
140250,HAZOR ASHDOD,חצור אשדוד,1948-09,1975-05
140251,HAZOR ASHDOD SCHOOL,"חצור אשדוד בי""""ס",1960-09,1989-05
140300,REVADIM,רבדים,1949-09,2024-04
140400,BERURIM,ברורים,1951-09,1996-05
140450,ASHDID - ISDUD,אשדוד - איסדוד,1940-09,1948-05
140470,TALME YEHI'EL,תלמי יחיאל,1963-09,1965-05
140500,RE'EM JUNCTION -  MASMIA,צומת ראם - מסמיה,1937-09,1947-05
140550,RE'EM JUNCTION -  MASHMIA SHALOM,צומת ראם - משמיע שלום,1956-09,1958-05
140600,EMUNIM,אמונים,1951-09,1953-05
140620,KEFAR HA RIF,כפר הריף,1961-09,1969-10
140650,HARUVIT,חרובית,1957-09,1960-05
140670,TIROSH,תירוש,1960-09,1962-05
140700,NIZZANIM CHILD. VILLAGE,ניצנים כפר הנוער,1953-09,1990-05
140702,SHIKMIM FIELD SCHOOL,"שקמים בי""""ס שדה",1990-09,1998-05
140720,YINNON,ינון,1970-10,1984-12
140800,BE'ER TOVIYYA,באר טוביה,1933-09,2005-10
140801,BE'ER TOVIYYA,באר טוביה,2005-11,2024-04
140818,OROT,אורות,2016-11,2024-04
140819,OROT,אורות,1980-09,2016-10
140820,OROT,אורות,1956-03,1980-05
140850,KEFAR MENAHEM,כפר מנחם,1940-09,1977-05
140851,KEFAR MENAHEM,כפר מנחם,1977-09,2005-11
140852,KEFAR MENAHEM,כפר מנחם,2005-12,2024-04
140855,NIZZAN,ניצן,2008-12,2024-04
140900,NIZZANIM KIBBUZ,ניצנים קבוץ,1944-09,2024-04
140950,KEFAR WARBURG,כפר ורבורג,1948-09,2024-04
141000,ESHKOLOT FARM,אשכולות חווה,1954-09,1989-05
141050,AVIGEDOR,אביגדור,1952-09,1990-05
141100,TIMMORIM,תימורים,1954-09,1988-05
141101,TIMMORIM,תימורים,1988-09,1994-05
141102,TIMMORIM,תימורים,1994-09,2024-04
141150,MASSU'OT YIZHAQ,משואות יצחק,1949-09,2024-04
141200,TEL TSAFIT - TEL ESSAFFI,תל צפית - תל א-צפי,1947-09,1948-05
141250,QEDMA,קדמה,1946-09,1964-05
141255,QEDMA,קדמה,1994-09,2024-04
141300,ASHQELON - HAMAMA VILLAGE,אשקלון - כפר חממה,1955-09,1979-12
141350,EN ZURIM,עין צורים,1950-09,2024-04
141397,SHAFIR,שפיר,2006-09,2007-12
141398,SHAFIR,שפיר,1988-09,2004-05
141399,SHAFIR,שפיר,1975-09,1988-05
141400,SHAFIR,שפיר,1951-09,1975-05
141450,SHAFIR SCHOOL,"שפיר בי""""ס",1955-09,1963-01
141520,ASHQELON DAGON HOTEL,אשקלון מלון דגון,1961-09,1986-12
141549,KEFAR SILVER - MAJDAL AGR.,כפר סילבר - מג'דל חקלאית,1932-09,1947-05
141550,KEFAR SILVER,כפר סילבר,1959-09,2012-02
141590,ASHQELON PARK,אשקלון פארק,1965-10,1983-05
141600,ASHQELON - ALJURA,אשקלון - אלג'ורה,1940-09,1948-05
141620,ASHQELON STADIUM,אשקלון איצטדיון,1999-11,2017-07
141625,ASHQELON,אשקלון,2017-08,2024-04
141650,ASHQELON - MAJDAL,אשקלון - מג'דל,1926-09,1948-05
141651,MIGDAL ASHQELON,מגדל אשקלון,1949-09,1953-05
141700,ASHQELON P W D,אשקלון מ ע צ,1956-09,1987-05
141746,NEGBA MAN,נגבה מאוישת,2005-03,2024-04
141747,NEGBA,נגבה,2002-09,2024-04
141748,NEGBA MAN,נגבה מאוישת,1977-09,2003-05
141749,NEGBA,נגבה,1965-09,1977-05
141750,NEGBA,נגבה,1939-09,1965-05
141800,QOMEMIYYUT,קוממיות,1950-09,1973-05
141850,NIR BANIM,ניר בנים,1954-09,1976-05
141851,NIR BANIM,ניר בנים,1976-10,1989-05
141852,NIR BANIM,ניר בנים,1989-09,1999-05
141853,NIR BANIM,ניר בנים,1999-09,2022-07
141854,NIR BANIM,ניר בנים,2022-08,2024-04
141900,SEGULLA,סגולה,1955-09,1991-04
141920,YAD NATAN,יד נתן,1964-01,1969-10
141940,ASHQELON E.A.P.C.,"אשקלון קצא""""א",1992-09,2024-04
141942,ASHQELON PORT,אשקלון נמל,2006-01,2024-04
141950,SEDE YO'AV,שדה יואב,1956-09,1968-05
142000,YOAV FORTRESS - IRAQ SUWEIDAN,מצודת יואב - עירק סוידן,1940-09,1948-05
142051,REWAHA,רווחה,1970-09,1985-12
142070,BAT HADAR - HADARIYA,בת הדר - הדריה,1961-09,1970-12
142160,OZEM - NAHAL YOAV BRIDGE,עוצם - גשר נחל יואב,1967-11,1969-05
142200,KOKHAV MIKHA'EL,כוכב מיכאל,1953-09,1958-05
142202,KOKHAV MIKHA'EL,כוכב מיכאל,1970-10,1977-12
142203,KOKHAV MIKHA'EL,כוכב מיכאל,1978-10,1980-05
142249,PELUGOT,פלוגות,1980-09,1985-05
142250,PELUGOT,פלוגות,1957-09,1980-05
142300,GAT,גת,1941-09,1957-05
142302,GAT MAN,גת מאוישת,1983-10,2024-04
142303,GAT,גת,2007-09,2024-04
142348,MAVQI'IM,מבקיעים,2005-01,2024-04
142349,MAVQI'IM,מבקיעים,2001-09,2004-12
142350,MAVQI'IM,מבקיעים,1949-09,2001-05
142400,NOGAH,נוגה,1957-09,1964-12
142420,TALME YAFE,תלמי יפה,1961-09,1971-05
142421,TALME YAFE,תלמי יפה,1965-10,2024-04
142450,SHAHAR,שחר,1956-09,1959-05
142500,PLUGOT JUNC. - EL FALUJA,פלוגות צומת - פלוג'ה,1937-09,1948-05
142550,MIVHOR,מבחור,1957-09,2006-05
142600,ZIQIM,זיקים,1949-09,2024-04
142650,NIR HEN,"ניר ח""""ן",1958-09,1965-05
142700,QIRYAT GAT,קריית גת,1959-09,1977-10
142749,SEDE MOSHE,שדה משה,1975-09,1979-05
142750,SEDE MOSHE,שדה משה,1957-09,1975-05
142780,QIRYAT GAT AGR. FARM,קרית גת חווה חקלאית,1976-10,1990-05
142800,KARMIYYA,כרמייה,1951-09,1975-05
142801,KARMIYYA,כרמייה,1975-09,1990-05
142802,KARMIYYA,כרמייה,2003-01,2024-04
142898,GEVAR'AM,גברעם,1987-10,2024-04
142899,GEVAR'AM,גברעם,1979-10,1987-05
142900,GEVAR'AM,גברעם,1943-09,1979-05
142920,ZOHAR LAKE,זוהר אגם,1959-09,1986-05
142950,UZA,עוזה,1950-09,1968-01
143000,YAD MORDEKHAY,יד מרדכי,1944-09,2024-04
143019,HELEZ,חלץ,1989-09,2000-05
143020,HELEZ,חלץ,1959-11,1988-05
143050,EVEN SHEMU'EL,אבן שמואל,1958-01,1975-05
143052,EVEN SHEMU'EL,אבן שמואל,1975-10,1980-05
143150,EREZ,ארז,1949-09,1980-05
143160,EREZ,ארז,2011-09,2024-04
143200,BEROR HAYIL,ברור חיל,1949-09,2024-04
143220,OR HANER,אור הנר,1957-09,2000-05
143221,OR HANER FIELDS,אור הנר שדות,2000-09,2024-04
143250,SHALWA,שלווה,1956-09,1967-01
143350,IBBIM,איבים,1955-09,1966-05
143450,NIR AM,ניר עם,1943-09,1971-01
143451,NIR AM,ניר עם,1971-10,1976-05
143452,NIR AM,ניר עם,1976-09,2006-05
143453,NIR AM,ניר עם,2006-09,2024-04
143480,SIMHA CENTER MEKOROT,אתר שמחה - מקורות,1967-11,1969-05
143500,GAZA FOREST NURSERY,עזה ייעור,1942-09,1948-05
143550,GAZA RAILWAY STATION,עזה תחנת הרכבת,1944-09,1948-05
143570,SHAAR HA NEGEV,שער הנגב,1963-02,1968-05
143600,GAZA (OTTOMAN PERIOD),עזה עותמאנית,1869-09,1905-05
143650,GAZA TOWN,עזה עיר,1919-09,1940-05
143700,MEFALLESIM,מפלסים,1949-09,1972-05
143702,MEFALLESIM,מפלסים,1972-10,2024-04
143750,GEVIM,גבים,1949-09,2024-04
143800,KEFAR AZZA,כפר עזה,1951-09,1974-11
143850,KARNI - GAZA AERODROME,קרני - שדה תעופה עזה,1927-09,1938-05
143950,NAHAL OZ,נחל עוז,1951-09,1974-05
143951,NAHAL OZ,נחל עוז,1974-09,2001-05
143952,NAHAL OZ,נחל עוז,2001-09,2024-04
144000,SA'AD,סעד,1949-09,1976-05
144001,SA'AD,סעד,1976-09,2024-04
144025,YAKHINI,יכיני,1960-09,1965-04
144030,YAKHINI,יכיני,2000-10,2024-04
144050,BE'EROT YITSHAQ (OLD),בארות יצחק הישנה,1943-09,1950-05
144069,ALUMIM,עלומים,2000-02,2024-04
144070,ALUMIM,עלומים,1966-10,1971-12
144100,TEQUMA,תקומה,1949-09,2005-01
144101,TEQUMA,תקומה,2005-09,2024-04
144120,TUSHIYYA,תושייה,1960-09,1972-05
144150,YIZREAM,יזרעם,1956-09,1979-12
144160,KEFAR MAYMON,כפר מימון,1965-10,1974-11
144180,BET HAGADDI,בית הגדי,1964-12,1972-02
144200,DEIR ELBALAH - RAILWAY STATION,דיר אלבלח - תחנת הרכבת,1940-09,1948-05
144248,BE'ERI,בארי,2023-08,2024-04
144249,BE'ERI,בארי,1970-09,2023-07
144250,BE'ERI,בארי,1946-09,1970-05
144300,BET HAGADDI,בית הגדי,1949-09,1952-05
144350,NAZRA HILL - NUSEIRAT,גבעת נצרה - נוסיראת,1946-09,1948-05
144400,KEFAR DAROM - HANAGIRA,כפר דרום - הנג'ירה,1946-09,1948-01
144500,RE'IM,רעים,1949-09,1978-05
144505,RE'IM,רעים,1997-09,2000-05
144550,BEIT REIM FIELDS,בית רעים שדות,1957-09,1960-02
144570,NEZER HAZANI,נצר חזני,1978-10,1983-02
144600,KISSUFIM,כיסופים,1951-09,1974-05
144602,KISSUFIM,כיסופים,1974-10,1981-05
144603,KISSUFIM,כיסופים,1997-09,2001-05
144604,KISSUFIM,כיסופים,2001-09,2024-04
144635,NEWE DEQALIM,נוה דקלים,1986-10,1992-05
144636,NEWE DEQALIM,נוה דקלים,2001-11,2005-05
144637,NURIYA,נוריה,1986-09,1988-05
144650,KHAN YUNIS,חן יונס,1933-09,1948-05
144700,NIRIM,נירים,1946-09,1972-05
144701,NIRIM,נירים,1972-09,1975-05
144702,NIRIM,נירים,1975-09,2024-04
144710,NIRIM-KHIRBAT MAYIN,נירים - ח'רבת מעין,1946-09,1948-05
144750,NIR OZ,ניר עוז,1955-09,2024-04
144800,MAGEN,מגן,1950-09,2024-04
144805,MAGEN SCHOOL,מגן בית חינוך,1970-10,1971-05
144850,RAFAH SCHOOL,"רפיח בי""""ס",1940-09,1948-05
144865,RAFAH TERMINAL,רפיח מסוף הגבול,1986-01,1993-05
144872,BESOR FARM MAN,בשור חווה מאוישת,1975-09,2024-04
144873,BESOR FARM,בשור חווה,2002-09,2024-04
144900,NIR YIZHAQ,ניר יצחק,1951-09,1975-05
144902,NIR YIZHAQ,ניר יצחק,1976-02,2024-04
144950,KEREM SHALOM,כרם שלום,1960-09,1967-05
144960,TALME YOSEF,תלמי יוסף,1993-09,2024-04
210010,METULLA POLICE POST,מטולה משטרה,1925-09,1947-05
210050,METULA,מטולה,1922-09,1953-05
210060,METULA,מטולה,1982-09,2001-05
210061,METULA,מטולה,2001-09,2012-05
210062,METULA,מטולה,2012-08,2024-04
210100,MISGAV AM,משגב עם,1946-09,1956-05
210102,MISGAV AM,משגב עם,1967-09,1977-05
210103,MISGAV AM,משגב עם,1977-10,1984-05
210148,KEFAR GIL'ADI,כפר גלעדי,1975-09,1999-05
210149,KEFAR GIL'ADI,כפר גלעדי,1974-10,1975-07
210150,KEFAR GIL'ADI,כפר גלעדי,1921-09,1974-05
210151,KEFAR GIL'ADI MAN,כפר גלעדי מאוישת,1999-09,2024-04
210160,KEFAR GIL'ADI,כפר גלעדי,2007-10,2024-04
210200,TEL HAI,תל חי,1921-09,1923-05
210250,MARGALIYYOT - HUNIN,מרגליות - הונין,1940-09,1948-05
210251,MARGALIYYOT,מרגליות,1954-09,1961-05
210300,MANARA - RAMIM,מנרה - רמים,1943-09,1974-05
210301,MANARA - RAMIM,מנרה - רמים,1974-10,1976-12
210350,MANARA 2,מנרה 2,1947-09,1949-05
210398,YIFTAH,יפתח,1995-09,2024-04
210399,YIFTAH,יפתח,1979-09,1995-05
210400,YIFTAH,יפתח,1949-09,1979-05
210430,NEBI YUSHA,מצודת כח - נבי יושע,1951-09,1954-05
210450,MALKIYYA,מלכייה,1949-09,1980-05
210451,MALKIYYA,מלכייה,1980-09,1984-05
210452,MALKIYYA,מלכייה,1984-10,2013-07
210453,MALKIYYA,מלכייה,2013-08,2024-04
210500,HANITA,חניתה,1938-09,1969-05
210501,HANITA,חניתה,1969-09,1977-05
210502,HANITA,חניתה,1982-09,2024-04
210530,SHOMERA,שומרה,1967-02,1970-05
210549,ADAMIT,אדמית,1984-10,2000-05
210550,ADAMIT,אדמית,1959-09,1984-05
210600,DISHON,דישון,1955-09,1975-05
210601,DISHON,דישון,1975-10,1986-05
210650,YIR'ON,יראון,1950-09,2024-04
210679,BAR'AM - MATITYAHU FARM,ברעם - חוות מתתיהו,1990-09,1997-05
210680,BAR'AM - MATITYAHU FARM,ברעם - חוות מתתיהו,1980-09,1990-05
210700,MAZZUVA,מצובה,1940-09,2024-04
210748,ELON MAN,אילון מאוישת,1974-09,2024-04
210750,ELON,אילון,1939-09,1973-05
210752,ELON,אילון,1973-09,1974-05
